TweetID,UserID,Gender
905871507804626944-,2854625769-,female
905863248280473600-,2854625769-,female
905862730879574016-,2854625769-,female
881651431064965120-,2854625769-,female
687341917462511616-,2854625769-,female
680043005470969857-,2854625769-,female
679798250556264453-,2854625769-,female
679680614967193601-,2854625769-,female
679679649778106369-,2854625769-,female
679678592247328768-,2854625769-,female
679678039949729792-,2854625769-,female
679677814778523649-,2854625769-,female
679677342449569792-,2854625769-,female
679676981324197888-,2854625769-,female
679673049151594497-,2854625769-,female
679648023136354304-,2854625769-,female
679622417241747456-,2854625769-,female
679447851366223873-,2854625769-,female
679447580472946689-,2854625769-,female
679447484180082689-,2854625769-,female
679447325891260420-,2854625769-,female
679447279846191104-,2854625769-,female
679447139731279872-,2854625769-,female
679446864069025792-,2854625769-,female
679446755767877633-,2854625769-,female
679444598700244992-,2854625769-,female
679444521898369025-,2854625769-,female
679444180834320386-,2854625769-,female
679444081991356416-,2854625769-,female
679443927980728320-,2854625769-,female
679443552305283072-,2854625769-,female
679443311443206144-,2854625769-,female
679440943691501568-,2854625769-,female
679440819087081473-,2854625769-,female
679439455321718784-,2854625769-,female
679409419248103424-,2854625769-,female
679409263593263104-,2854625769-,female
679407881440108544-,2854625769-,female
679406591221854208-,2854625769-,female
679406037309464576-,2854625769-,female
679404386288799744-,2854625769-,female
679289740005416960-,2854625769-,female
679017871415095296-,2854625769-,female
679017565272875009-,2854625769-,female
678738028840505344-,2854625769-,female
678736696515665920-,2854625769-,female
678736398397087745-,2854625769-,female
678720482913468416-,2854625769-,female
678689559912271873-,2854625769-,female
678688681079808000-,2854625769-,female
678602679438991360-,2854625769-,female
678546486758662144-,2854625769-,female
678307225555894273-,2854625769-,female
677956881344831489-,2854625769-,female
677872718109388800-,2854625769-,female
677870078659059712-,2854625769-,female
677858439087943680-,2854625769-,female
677845029965180928-,2854625769-,female
677811197090091008-,2854625769-,female
677809978539941888-,2854625769-,female
677809551555624960-,2854625769-,female
677809026588127232-,2854625769-,female
677799516360298496-,2854625769-,female
677587220233125888-,2854625769-,female
677574122784821249-,2854625769-,female
677573493148491776-,2854625769-,female
677544186149736448-,2854625769-,female
677264032336859136-,2854625769-,female
677226019762405377-,2854625769-,female
677150615642972160-,2854625769-,female
676889204564082688-,2854625769-,female
676845112891191298-,2854625769-,female
676834023491158016-,2854625769-,female
676833456433819648-,2854625769-,female
676833034017075200-,2854625769-,female
676818749991858177-,2854625769-,female
676816620958982146-,2854625769-,female
676797637287366657-,2854625769-,female
676797465585172480-,2854625769-,female
676793245410684929-,2854625769-,female
676523483266961409-,2854625769-,female
676509983752720385-,2854625769-,female
676509054957699074-,2854625769-,female
676507700243615745-,2854625769-,female
676479554152759300-,2854625769-,female
676448953026674688-,2854625769-,female
676441258185871360-,2854625769-,female
676440766537981952-,2854625769-,female
676180306370691072-,2854625769-,female
676168786949611520-,2854625769-,female
676168632209121281-,2854625769-,female
676163012005351424-,2854625769-,female
676099372585717761-,2854625769-,female
676023913126756352-,2854625769-,female
675991377499549696-,2854625769-,female
675836921235570688-,2854625769-,female
675836829476757505-,2854625769-,female
1654152582636478469-,897069632112263168-,female
1654147907744931845-,897069632112263168-,female
1640806589442543620-,897069632112263168-,female
1636545290743283712-,897069632112263168-,female
1633869105014145024-,897069632112263168-,female
1618822784649658368-,897069632112263168-,female
1618821404329381888-,897069632112263168-,female
1618638876972814336-,897069632112263168-,female
1618611624260284416-,897069632112263168-,female
1598006888620490753-,897069632112263168-,female
1542899171375579138-,897069632112263168-,female
1534573218039746560-,897069632112263168-,female
1533900333893701640-,897069632112263168-,female
1533838662785454082-,897069632112263168-,female
1532750847712567296-,897069632112263168-,female
1532480651257077788-,897069632112263168-,female
1532016288289239042-,897069632112263168-,female
1530750206505107457-,897069632112263168-,female
1529496532927582209-,897069632112263168-,female
1528820974933757954-,897069632112263168-,female
1526954710141440000-,897069632112263168-,female
1526616812632285187-,897069632112263168-,female
1526615136177373184-,897069632112263168-,female
1526611222992404482-,897069632112263168-,female
1526610973758480385-,897069632112263168-,female
1526593228975312897-,897069632112263168-,female
1526593132049182721-,897069632112263168-,female
1526592868072280066-,897069632112263168-,female
1526592438822903808-,897069632112263168-,female
1526576996771299328-,897069632112263168-,female
1526575645001715717-,897069632112263168-,female
1526249880544477185-,897069632112263168-,female
1525137313331875840-,897069632112263168-,female
1524938290520006674-,897069632112263168-,female
1524923059932696576-,897069632112263168-,female
1524828481170952192-,897069632112263168-,female
1524828248194142208-,897069632112263168-,female
1524045755379589120-,897069632112263168-,female
1524042358840598532-,897069632112263168-,female
1524040558947274752-,897069632112263168-,female
1523630579689803777-,897069632112263168-,female
1523154068876578816-,897069632112263168-,female
1522317652210946048-,897069632112263168-,female
1522315797678510080-,897069632112263168-,female
1522240407538704386-,897069632112263168-,female
1522237885344370688-,897069632112263168-,female
1521846471666061312-,897069632112263168-,female
1521843588606406656-,897069632112263168-,female
1521833085607845890-,897069632112263168-,female
1521559668300075010-,897069632112263168-,female
1521558756265496576-,897069632112263168-,female
1521557044402298881-,897069632112263168-,female
1521552539216400386-,897069632112263168-,female
1521544258796273667-,897069632112263168-,female
1521535806573326337-,897069632112263168-,female
1521535539576455173-,897069632112263168-,female
1521521148986597377-,897069632112263168-,female
1521520765916622849-,897069632112263168-,female
1521518941918666759-,897069632112263168-,female
1521507607864872961-,897069632112263168-,female
1521195696409522176-,897069632112263168-,female
1521180504627761155-,897069632112263168-,female
1521138409565306881-,897069632112263168-,female
1521116273349959681-,897069632112263168-,female
1521104406200078336-,897069632112263168-,female
1521103411906818051-,897069632112263168-,female
1520430044597956608-,897069632112263168-,female
1520412113239482369-,897069632112263168-,female
1519747512034381827-,897069632112263168-,female
1519740100774707200-,897069632112263168-,female
1519378391509700614-,897069632112263168-,female
1519097518923132929-,897069632112263168-,female
1518693588418314241-,897069632112263168-,female
1518685516014702592-,897069632112263168-,female
1518685346426507267-,897069632112263168-,female
1518653289184772100-,897069632112263168-,female
1516859394398502912-,897069632112263168-,female
1516851335538298880-,897069632112263168-,female
1516829157790998541-,897069632112263168-,female
1516152149943726086-,897069632112263168-,female
1516078989449830412-,897069632112263168-,female
1513890959624445960-,897069632112263168-,female
1513890479041036290-,897069632112263168-,female
1513890240179671054-,897069632112263168-,female
1513889989158973441-,897069632112263168-,female
1513615112225107980-,897069632112263168-,female
1513614726051282945-,897069632112263168-,female
1513583049769893894-,897069632112263168-,female
1513582600681570318-,897069632112263168-,female
1513582435560214529-,897069632112263168-,female
1513508088300675074-,897069632112263168-,female
1513503633630904321-,897069632112263168-,female
1512397446118350853-,897069632112263168-,female
1511034061455872005-,897069632112263168-,female
1511033910934843400-,897069632112263168-,female
1508458514934546437-,897069632112263168-,female
1508452658255904770-,897069632112263168-,female
1507840112566181896-,897069632112263168-,female
1507823706474795010-,897069632112263168-,female
1507790916014297089-,897069632112263168-,female
1670868104434286605-,390379040-,female
1670614843957575682-,390379040-,female
1670600119446634497-,390379040-,female
1670478380725157890-,390379040-,female
1670114965515010048-,390379040-,female
1670114363380846594-,390379040-,female
1669699911493844992-,390379040-,female
1669698608084533248-,390379040-,female
1669697847824904198-,390379040-,female
1669491628065669120-,390379040-,female
1668738138146062336-,390379040-,female
1667317656683159552-,390379040-,female
1666577025161744390-,390379040-,female
1663694272686702593-,390379040-,female
1663328530598440961-,390379040-,female
1654082455224082432-,390379040-,female
1653765317179453440-,390379040-,female
1653366083447914498-,390379040-,female
1651220515057545225-,390379040-,female
1650273890835333124-,390379040-,female
1648316408344764418-,390379040-,female
1648067322303635459-,390379040-,female
1648066414236844033-,390379040-,female
1648025781497470976-,390379040-,female
1648012636133400606-,390379040-,female
1647943428322254848-,390379040-,female
1647942798107082753-,390379040-,female
1647604742980345856-,390379040-,female
1646138587019190272-,390379040-,female
1616908583685263360-,390379040-,female
1614380466429399041-,390379040-,female
1613903786346422272-,390379040-,female
1610009243515584514-,390379040-,female
1607519745984851968-,390379040-,female
1604911754227712028-,390379040-,female
1601723780782428160-,390379040-,female
1601034698603786240-,390379040-,female
1601028326378070016-,390379040-,female
1601026450013855745-,390379040-,female
1600947825202069505-,390379040-,female
1600586610529431552-,390379040-,female
1600568575156174874-,390379040-,female
1599735844079751168-,390379040-,female
1598470721033969664-,390379040-,female
1598035380062027778-,390379040-,female
1598035148309954560-,390379040-,female
1598034390294368257-,390379040-,female
1598010161607901184-,390379040-,female
1598009579916660736-,390379040-,female
1597694596871467008-,390379040-,female
1597691736171892737-,390379040-,female
1597378343376420865-,390379040-,female
1596698097182121984-,390379040-,female
1595962553494110208-,390379040-,female
1594146499532685312-,390379040-,female
1592610674655776768-,390379040-,female
1574818360038154241-,390379040-,female
1572441920902778881-,390379040-,female
1572438747794542592-,390379040-,female
1570503933826830336-,390379040-,female
1570123017522663425-,390379040-,female
1570118623351521291-,390379040-,female
1569029262040264704-,390379040-,female
1568767167176343558-,390379040-,female
1568765965373931525-,390379040-,female
1567738257730949120-,390379040-,female
1567699216587177984-,390379040-,female
1567359360459751424-,390379040-,female
1567356643347677189-,390379040-,female
1567290203038965760-,390379040-,female
1567247501396267008-,390379040-,female
1567245457461592067-,390379040-,female
1567231699989266432-,390379040-,female
1566621001420529664-,390379040-,female
1566619602183929857-,390379040-,female
1566617794619346944-,390379040-,female
1566610726273294336-,390379040-,female
1566600755527794689-,390379040-,female
1566598752286261249-,390379040-,female
1565153086611628033-,390379040-,female
1562944826047594497-,390379040-,female
1562879830844403712-,390379040-,female
1561582993642323968-,390379040-,female
1561582267268567040-,390379040-,female
1561580973703168000-,390379040-,female
1561577958376181761-,390379040-,female
1561576483398860801-,390379040-,female
1561575541035175936-,390379040-,female
1561546540375834624-,390379040-,female
1561545833748758530-,390379040-,female
1561253288883929088-,390379040-,female
1561252524337905664-,390379040-,female
1561249952155713537-,390379040-,female
1561249236141936640-,390379040-,female
1561235885227708416-,390379040-,female
1561234765151457282-,390379040-,female
1561231579690696704-,390379040-,female
1561108253475569670-,390379040-,female
1561077912333320192-,390379040-,female
1670934279986245632-,3485971-,female
1670931929544228864-,3485971-,female
1670856359485779968-,3485971-,female
1670229465170051074-,3485971-,female
1670209308712407041-,3485971-,female
1670091034548908033-,3485971-,female
1669876467176722433-,3485971-,female
1669852581244604416-,3485971-,female
1669852173721821184-,3485971-,female
1669847421101412353-,3485971-,female
1669847401836978176-,3485971-,female
1669551305562656768-,3485971-,female
1669505717718634496-,3485971-,female
1669479147616481280-,3485971-,female
1669116847000793088-,3485971-,female
